00:00:30.504 [Test worker] INFO  com.example.GroupServiceImpl - Deleting group with id: 1
 00:00:30.819 [Test worker] INFO  com.example.GroupServiceImpl - Creating group: com.example.Group@55d58825
 00:00:30.827 [Test worker] INFO  com.example.GroupServiceImpl - Group Test Group created successfully!
 00:00:30.870 [Test worker] INFO  com.example.GroupServiceImpl - Adding group with name: TestGroup
 00:00:30.878 [Test worker] INFO  com.example.GroupServiceImpl - Group TestGroup created successfully!
 00:00:33.381 [Test worker] INFO  com.example.EmailService - Email sent successfully to: Mihalkevitc.23V@yandex.ru
 00:00:33.396 [Test worker] INFO  com.example.GroupServiceImpl - Email about TestGroup {} successfully send!
 00:00:33.481 [Test worker] INFO  com.example.GroupServiceImpl - Fetching all groups
 00:00:53.044 [Test worker] INFO  com.example.GroupServiceImpl - Deleting group with id: 1
 00:00:53.237 [Test worker] INFO  com.example.GroupServiceImpl - Creating group: com.example.Group@5c5d6175
 00:00:53.237 [Test worker] INFO  com.example.GroupServiceImpl - Group Test Group created successfully!
 00:00:53.267 [Test worker] INFO  com.example.GroupServiceImpl - Adding group with name: TestGroup
 00:00:53.277 [Test worker] INFO  com.example.GroupServiceImpl - Group TestGroup created successfully!
 00:00:54.890 [Test worker] INFO  com.example.EmailService - Email sent successfully to: Mihalkevitc.23V@yandex.ru
 00:00:54.890 [Test worker] INFO  com.example.GroupServiceImpl - Email about TestGroup {} successfully send!
 00:00:54.906 [Test worker] INFO  com.example.GroupServiceImpl - Fetching all groups
 00:05:09.056 [Test worker] INFO  com.example.StudentServiceImpl - Creating student: com.example.Student@6cf0a747
 00:05:09.248 [Test worker] INFO  com.example.StudentServiceImpl - Filtering students by groupId: 1
 00:05:09.291 [Test worker] INFO  com.example.StudentServiceImpl - Adding student with firstName: John, lastName: Doe, groupId: 1
 00:05:09.297 [Test worker] INFO  com.example.StudentServiceImpl - Student John Doe successfully created!
 00:05:09.315 [Test worker] INFO  com.example.StudentServiceImpl - Email about John Doe successfully send!
 00:05:09.379 [Test worker] INFO  com.example.StudentServiceImpl - Deleting student with id: 1
 00:05:09.419 [Test worker] INFO  com.example.StudentServiceImpl - Fetching all students
 00:05:09.436 [Test worker] INFO  com.example.StudentServiceImpl - Filtering students by name: John Doe
 00:29:06.398 [Test worker] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.FileManagementServiceTest]: FileManagementServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
 00:30:44.019 [Test worker] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.FileManagementServiceTest]: FileManagementServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
